Product_Key,Product_Name,Category,Sub_Category,Brand,Unit_Price,Unit_Cost,Warranty_Months,Launch_Year,Product_Status
PRD-000001,Logitech Compact Office Desk,Furniture,Desk,Logitech,1208.17,621.97,28,2023,Active
PRD-000002,Steelcase Vertical File Cabinet,Furniture,Cabinet,Steelcase,1975.24,897.23,16,2024,Active
PRD-000003,Sony Herman Miller Aeron,Furniture,Chair,Sony,2493.95,1674.95,13,2023,Active
PRD-000004,Cisco Meeting Notebook,Office Supplies,Notebook,Cisco,1629.06,1191.45,14,2020,Active
PRD-000005,Brother MacBook Pro 14,Electronics,Laptop,Brother,1388.97,767.93,33,2023,Active
PRD-000006,Lenovo LG UltraFine 32,Electronics,Monitor,Lenovo,1955.04,1002.09,36,2025,Active
PRD-000007,Cisco Cisco Meraki AP,Networking,Access Point,Cisco,1409.11,870.38,16,2023,Active
PRD-000008,Samsung TP-Link Easy Smart,Networking,Switch,Samsung,2387.18,1433.34,24,2022,Discontinued
PRD-000009,Brother A4 Copy Paper,Office Supplies,Paper,Brother,1800.87,1346.78,14,2023,Active
PRD-000010,Steelcase Netgear Insight AP,Networking,Access Point,Steelcase,1437.37,784.22,33,2024,Active
PRD-000011,Microsoft Mobile Pedestal,Furniture,Cabinet,Microsoft,879.6,553.42,17,2022,Active
PRD-000012,Samsung MacBook Pro 14,Electronics,Laptop,Samsung,416.51,192.01,19,2024,Discontinued
PRD-000013,Dell Microsoft Ergonomic Mouse,Accessories,Mouse,Dell,2210.26,1320.13,19,2023,Active
PRD-000014,Bose Metal Storage Cabinet,Furniture,Cabinet,Bose,2017.1,1376.02,21,2023,Active
PRD-000015,HP Samsung ViewFinity,Electronics,Monitor,HP,1060.49,531.51,32,2020,Discontinued
PRD-000016,HP Executive Mesh Chair,Furniture,Chair,HP,645.49,476.15,27,2024,Discontinued
PRD-000017,Canon HP EliteBook 840,Electronics,Laptop,Canon,2206.0,1390.68,27,2023,Active
PRD-000018,Ubiquiti Photo Paper,Office Supplies,Paper,Ubiquiti,704.43,479.35,16,2020,Active
PRD-000019,Microsoft Acer Nitro XV,Electronics,Monitor,Microsoft,1616.77,1140.64,33,2024,Active
PRD-000020,Canon Dell Wireless Mouse,Accessories,Mouse,Canon,255.2,122.03,16,2020,Active
PRD-000021,Canon HP EliteBook 840,Electronics,Laptop,Canon,773.98,567.04,19,2023,Active
PRD-000022,Brother TP-Link Archer,Networking,Router,Brother,2146.59,1095.8,13,2025,Active
PRD-000023,HP Netgear Insight AP,Networking,Access Point,HP,1981.0,896.1,24,2023,Discontinued
PRD-000024,Herman Miller TP-Link Archer,Networking,Router,Herman Miller,2410.72,1522.5,24,2025,Active
PRD-000025,TP-Link L-Shaped Workstation,Furniture,Desk,TP-Link,2011.62,1200.97,31,2024,Active
PRD-000026,Microsoft Xerox VersaLink,Electronics,Printer,Microsoft,2418.44,1313.33,36,2025,Active
PRD-000027,Vertex Cisco Business Router,Networking,Router,Vertex,2040.43,1516.15,33,2022,Active
PRD-000028,Lenovo Logitech MX Master 3S,Accessories,Mouse,Lenovo,1573.84,1089.57,12,2023,Active
PRD-000029,TP-Link Keychron K8,Accessories,Keyboard,TP-Link,985.72,562.31,33,2021,Active
PRD-000030,Herman Miller Dell Wireless Mouse,Accessories,Mouse,Herman Miller,1766.36,1227.95,19,2025,Active
PRD-000031,ASUS HP Business Keyboard,Accessories,Keyboard,ASUS,584.9,423.7,27,2025,Active
PRD-000032,Vertex L-Shaped Workstation,Furniture,Desk,Vertex,2228.41,1523.91,31,2025,Active
PRD-000033,Steelcase Ubiquiti UniFi,Networking,Access Point,Steelcase,1213.38,727.55,28,2022,Active
PRD-000034,Epson HP EliteBook 840,Electronics,Laptop,Epson,793.1,449.98,17,2021,Active
PRD-000035,Vertex Brother HL-L3270,Electronics,Printer,Vertex,2359.94,1587.55,17,2023,Discontinued
PRD-000036,Samsung HP Bluetooth Mouse,Accessories,Mouse,Samsung,1611.11,1054.45,12,2022,Active
PRD-000037,Canon Hardcover Journal,Office Supplies,Notebook,Canon,2251.31,1355.55,20,2021,Active
PRD-000038,Bose Razer Pro Click,Accessories,Mouse,Bose,1016.17,597.73,17,2025,Active
PRD-000039,Cisco Poly Voyager,Accessories,Headset,Cisco,487.37,359.79,32,2020,Active
PRD-000040,TP-Link A4 Copy Paper,Office Supplies,Paper,TP-Link,1458.45,830.51,19,2023,Active
PRD-000041,Cisco Canon imageCLASS,Electronics,Printer,Cisco,2432.64,1233.57,23,2022,Discontinued
PRD-000042,Sony Vertex Office Chair,Furniture,Chair,Sony,1332.95,619.49,29,2021,Active
PRD-000043,Ubiquiti Vertex Office Chair,Furniture,Chair,Ubiquiti,2314.4,1654.95,14,2020,Active
PRD-000044,Canon LG UltraFine 32,Electronics,Monitor,Canon,167.92,116.63,27,2024,Active
PRD-000045,Canon Poly Voyager,Accessories,Headset,Canon,688.93,383.0,12,2022,Active
PRD-000046,Brother HP LaserJet Pro,Electronics,Printer,Brother,1289.15,842.33,23,2021,Active
PRD-000047,Ubiquiti ThinkPad X1 Carbon,Electronics,Laptop,Ubiquiti,1247.75,816.31,13,2025,Active
PRD-000048,Netgear HP EliteBook 840,Electronics,Laptop,Netgear,641.08,326.75,28,2021,Active
PRD-000049,Steelcase HP Bluetooth Mouse,Accessories,Mouse,Steelcase,550.01,254.18,32,2022,Active
PRD-000050,ASUS ErgoFlex Pro,Furniture,Chair,ASUS,1206.66,855.83,20,2023,Active
PRD-000051,Netgear ASUS ExpertBook B5,Electronics,Laptop,Netgear,1516.91,733.46,26,2022,Active
PRD-000052,Brother Recycled Paper,Office Supplies,Paper,Brother,1541.72,974.61,17,2023,Active
PRD-000053,Sony Vertical File Cabinet,Furniture,Cabinet,Sony,532.94,399.39,26,2024,Active
PRD-000054,LG Premium Printer Paper,Office Supplies,Paper,LG,1506.44,836.93,23,2025,Active
PRD-000055,Sony Cisco Business Router,Networking,Router,Sony,2387.46,1615.24,35,2025,Active
PRD-000056,TP-Link ASUS ExpertBook B5,Electronics,Laptop,TP-Link,938.52,701.44,19,2022,Active
PRD-000057,ASUS Sony WH-1000XM5,Accessories,Headset,ASUS,1883.42,1215.25,24,2022,Active
PRD-000058,Herman Miller Compact Office Desk,Furniture,Desk,Herman Miller,120.45,85.23,22,2021,Active
PRD-000059,Canon TP-Link Easy Smart,Networking,Switch,Canon,1832.47,1370.76,13,2023,Active
PRD-000060,Logitech Xerox VersaLink,Electronics,Printer,Logitech,1449.56,1086.15,35,2021,Active
PRD-000061,Dell Cisco Catalyst,Networking,Switch,Dell,938.65,655.09,23,2023,Active
PRD-000062,Vertex Sony WH-1000XM5,Accessories,Headset,Vertex,1802.14,849.2,23,2022,Active
PRD-000063,Cisco Meeting Notebook,Office Supplies,Notebook,Cisco,2321.82,1183.29,14,2022,Discontinued
PRD-000064,Canon Premium Printer Paper,Office Supplies,Paper,Canon,1884.24,1376.54,21,2020,Active
PRD-000065,Canon Wooden File Cabinet,Furniture,Cabinet,Canon,1253.96,832.52,22,2021,Active
PRD-000066,Epson Cisco Catalyst,Networking,Switch,Epson,2110.08,1129.14,25,2022,Active
PRD-000067,TP-Link ASUS ExpertBook B5,Electronics,Laptop,TP-Link,72.47,48.37,27,2024,Active
